label,kind,threads,host_GB,time_limit_s,gpu,args
dense_l2iso_c128,dense,4,23,3600,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4 --dense-m 1572864 --dense-c 128 --reps 12"
boundscore_l0p25_k256,bounds_core,4,16,14400,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p25_k800,bounds_core,4,16,14400,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 800 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p25_k1350,bounds_core,4,16,14400,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 1350 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p5_k256,bounds_core,4,16,14400,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p5_k800,bounds_core,4,16,14400,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 800 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p5_k1350,bounds_core,4,16,14400,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 1350 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p75_k256,bounds_core,4,16,14400,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 256 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p75_k800,bounds_core,4,23,14400,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 800 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
boundscore_l0p75_k1350,bounds_core,4,34,14400,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --sep 1//4 --rank 1350 --oversamples 50 --power-iters 14 --num-pos-frac 0.5 --outer-samples 4"
